sex,C2745_1,C2745_2,Kettin_1,Kettin_2,Tpi_1,Tpi_2,Catalase_1,Catalase_2,C5197_1,C5197_2,Masc_1,Masc_2,Shaker_1,Shaker_2,Ldh_1,Ldh_2
1,_,_,1,_,3,_,2,_,1,_,7,_,3,_,1,_
1,5,_,4,_,6,_,2,_,9,_,11,_,1,_,1,_
1,1,_,2,_,4,_,1,_,1,_,2,_,3,_,3,_
1,2,_,3,_,3,_,2,_,3,_,12,_,3,_,3,_
1,8,_,2,_,5,_,2,_,4,_,4,_,4,_,6,_
1,9,_,1,_,3,_,2,_,3,_,5,_,4,_,6,_
1,10,_,1,_,1,_,1,_,8,_,_,_,2,_,2,_
1,3,_,2,_,1,_,4,_,7,_,8,_,5,_,5,_
1,1,_,2,_,4,_,1,_,1,_,2,_,3,_,3,_
1,1,_,1,_,3,_,2,_,3,_,5,_,3,_,3,_
1,7,_,3,_,1,_,4,_,7,_,8,_,5,_,5,_
1,8,_,1,_,4,_,2,_,4,_,4,_,1,_,1,_
1,1,_,1,_,2,_,1,_,5,_,9,_,2,_,2,_
1,1,_,1,_,2,_,1,_,1,_,7,_,1,_,1,_
1,2,_,3,_,5,_,1,_,1,_,2,_,3,_,3,_
1,2,_,3,_,7,_,5,_,4,_,4,_,1,_,6,_
1,4,_,2,_,8,_,1,_,5,_,9,_,6,_,7,_
1,1,_,1,_,5,_,1,_,1,_,2,_,3,_,4,_
1,1,_,1,_,5,_,1,_,4,_,4,_,1,_,1,_
1,9,_,4,_,3,_,1,_,1,_,10,_,6,_,7,_
1,6,_,1,_,1,_,2,_,1,_,_,_,3,_,3,_
1,1,_,1,_,5,_,1,_,1,_,2,_,3,_,3,_
1,1,_,1,_,6,_,3,_,1,_,1,_,5,_,5,_
1,1,_,2,_,1,_,2,_,2,_,3,_,1,_,2,_
1,1,_,1,_,6,_,3,_,1,_,1,_,5,_,5,_
1,1,_,2,_,8,_,2,_,1,_,1,_,2,_,4,_
1,7,_,4,_,1,_,1,_,4,_,4,_,1,_,1,_
1,9,_,1,_,2,_,2,_,3,_,5,_,4,_,6,_
1,3,_,2,_,1,_,2,_,1,_,1,_,2,_,4,_
1,1,_,1,_,2,_,1,_,1,_,2,_,1,_,1,_
1,2,_,1,_,2,_,1,_,1,_,4,_,5,_,5,_
1,1,_,2,_,1,_,2,_,7,_,8,_,1,_,2,_
1,7,_,4,_,1,_,1,_,4,_,4,_,1,_,1,_
1,3,_,2,_,7,_,5,_,2,_,3,_,1,_,2,_
1,7,_,4,_,1,_,1,_,1,_,1,_,2,_,2,_
1,2,_,3,_,1,_,1,_,2,_,3,_,6,_,7,_
1,1,_,1,_,2,_,1,_,1,_,2,_,3,_,3,_
1,8,_,2,_,1,_,1,_,2,_,3,_,1,_,2,_
1,8,_,2,_,1,_,2,_,1,_,14,_,4,_,11,_
1,2,_,3,_,1,_,4,_,1,_,1,_,1,_,1,_
1,10,_,2,_,1,_,6,_,1,_,1,_,1,_,1,_
1,4,_,2,_,3,_,2,_,2,_,3,_,5,_,5,_
1,1,_,1,_,3,_,1,_,1,_,1,_,2,_,2,_
1,1,_,2,_,4,_,1,_,3,_,5,_,2,_,9,_
1,1,_,1,_,2,_,1,_,9,_,11,_,6,_,6,_
1,1,_,1,_,2,_,1,_,9,_,11,_,6,_,2,_
1,4,_,2,_,3,_,2,_,10,_,13,_,8,_,10,_
1,5,_,1,_,8,_,1,_,2,_,3,_,1,_,1,_
1,3,_,2,_,1,_,1,_,1,_,2,_,3,_,3,_
1,3,_,2,_,8,_,2,_,5,_,9,_,2,_,1,_
1,6,_,1,_,1,_,2,_,1,_,1,_,1,_,1,_
1,6,_,2,_,1,_,2,_,1,_,7,_,7,_,6,_
1,6,_,2,_,1,_,2,_,1,_,1,_,3,_,3,_
1,1,_,2,_,4,_,2,_,2,_,3,_,2,_,4,_
1,3,_,2,_,1,_,4,_,2,_,3,_,1,_,2,_
1,1,_,1,_,2,_,1,_,5,_,5,_,4,_,5,_
1,4,_,1,_,5,_,1,_,1,_,2,_,7,_,6,_
1,4,_,2,_,8,_,2,_,1,_,2,_,3,_,3,_
1,1,_,2,_,1,_,2,_,2,_,3,_,1,_,1,_
1,1,_,1,_,2,_,1,_,1,_,7,_,1,_,1,_
1,5,_,4,_,6,_,2,_,10,_,13,_,8,_,10,_
1,3,_,2,_,2,_,1,_,1,_,2,_,1,_,1,_
1,3,_,2,_,5,_,2,_,1,_,10,_,6,_,4,_
1,2,_,3,_,7,_,5,_,6,_,6,_,9,_,8,_
1,1,_,1,_,1,_,2,_,3,_,12,_,1,_,2,_
1,1,_,2,_,1,_,2,_,6,_,6,_,10,_,4,_
1,4,_,2,_,8,_,1,_,4,_,4,_,7,_,12,_
1,3,_,2,_,4,_,1,_,1,_,1,_,2,_,2,_
1,3,_,2,_,1,_,2,_,5,_,9,_,1,_,2,_
1,1,_,1,_,5,_,1,_,1,_,2,_,3,_,3,_
1,5,_,3,_,7,_,2,_,2,_,3,_,1,_,2,_
1,1,_,1,_,3,_,1,_,1,_,10,_,6,_,7,_
1,1,_,1,_,1,_,2,_,2,_,3,_,1,_,1,_
1,4,_,2,_,9,_,1,_,6,_,6,_,4,_,6,_
1,1,_,2,_,1,_,2,_,2,_,3,_,1,_,2,_
1,1,_,2,_,4,_,2,_,4,_,4,_,4,_,9,_
1,1,_,1,_,3,_,1,_,5,_,9,_,7,_,6,_
1,2,_,3,_,1,_,1,_,2,_,3,_,6,_,9,_
1,1,_,1,_,4,_,1,_,1,_,1,_,1,_,2,_
1,1,_,1,_,2,_,1,_,1,_,4,_,5,_,5,_
1,2,_,3,_,3,_,2,_,3,_,5,_,2,_,2,_
1,10,_,2,_,1,_,6,_,1,_,1,_,1,_,1,_
1,1,_,1,_,2,_,1,_,1,_,2,_,2,_,4,_
1,1,_,1,_,2,_,1,_,1,_,2,_,1,_,4,_
1,5,_,4,_,6,_,3,_,8,_,2,_,4,_,4,_
1,1,_,1,_,3,_,2,_,7,_,8,_,5,_,5,_
1,1,_,2,_,4,_,1,_,1,_,1,_,1,_,2,_
1,7,_,4,_,1,_,1,_,1,_,1,_,2,_,2,_
1,1,_,1,_,3,_,2,_,1,_,1,_,2,_,2,_
1,1,_,1,_,2,_,2,_,1,_,14,_,6,_,1,_
1,4,_,2,_,3,_,2,_,3,_,5,_,3,_,1,_
1,5,_,4,_,6,_,3,_,8,_,6,_,4,_,4,_
1,9,_,1,_,2,_,1,_,3,_,5,_,4,_,6,_
1,1,_,1,_,3,_,1,_,1,_,10,_,6,_,7,_
1,5,_,4,_,6,_,3,_,8,_,10,_,4,_,4,_
1,2,_,3,_,7,_,5,_,6,_,6,_,9,_,8,_
1,4,_,2,_,3,_,2,_,10,_,13,_,8,_,10,_
1,11,_,1,_,2,_,1,_,1,_,2,_,3,_,3,_
1,4,_,1,_,2,_,2,_,1,_,7,_,7,_,6,_
1,1,_,1,_,5,_,2,_,11,_,15,_,1,_,1,_
1,4,_,2,_,8,_,1,_,7,_,8,_,5,_,5,_
1,2,_,3,_,7,_,5,_,6,_,6,_,9,_,8,_
1,4,_,2,_,9,_,1,_,6,_,6,_,4,_,11,_
1,3,_,2,_,4,_,2,_,9,_,11,_,2,_,2,_
1,3,_,2,_,1,_,4,_,7,_,8,_,5,_,5,_
1,2,_,2,_,1,_,2,_,1,_,1,_,2,_,3,_
1,6,_,5,_,1,_,2,_,1,_,7,_,1,_,1,_
1,1,_,1,_,4,_,2,_,4,_,4,_,1,_,1,_
1,1,_,1,_,2,_,1,_,1,_,1,_,2,_,4,_
1,1,_,1,_,2,_,2,_,3,_,12,_,2,_,7,_
1,2,_,3,_,7,_,1,_,1,_,2,_,3,_,3,_
1,6,_,2,_,4,_,2,_,1,_,_,_,4,_,_,_
